pCL_name (or CL_name),transcriptome data cluster,TDC_id,pCL_id (or CL_id),definition,part_of (uberon_id),Species_source,Species_ID,part_of (uberon_name),is_a (CL or pCL_id)_parent_ID,is_a (CL or pCL_name)_parent_name,cluster_size (number of cells),f-measure_evidence,marker_gene_evidence,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,neuron_type
Exc THEMIS COBL,Exc THEMIS COBL,Bakken291,pCL395,"is a Layer 6 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses CNR1, and GABRG1, and IQGAP2, and NFIA mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL111,Layer 6 Intratelencephalic neuron,809,0.529085873,4,CNR1,GABRG1,IQGAP2,NFIA,,glut
Exc THEMIS KCTD16,Exc THEMIS KCTD16,Bakken292,pCL396,"is a Layer 6 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses CSGALNACT1, and PLXDC2, and PTPRK, and THEMIS mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL111,Layer 6 Intratelencephalic neuron,2788,0.567090395,4,CSGALNACT1,PLXDC2,PTPRK,THEMIS,,glut
Exc THEMIS NTNG2,Exc THEMIS NTNG2,Bakken293,pCL397,"is a Layer 6 Intratelencephalic Car3 marmoset primary motor cortex Glutamatergic neuron that selectively expresses NTNG2, and PTPRU mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL110,Layer 6 Intratelencephalic neuron that selectively expresses Car3 ,728,0.813899254,2,NTNG2,PTPRU,,,,glut
Glia SLC1A3 FBLN5,Glia SLC1A3 FBLN5,Bakken294,pCL398,is a marmoset primary motor cortex cerebral cortex endothelial cell that selectively expresses FBLN5 mRNAs,UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_1001602,cerebral cortex endothelial cell,54,0.833333333,1,FBLN5,,,,,endo
Inh GAD1 LOC108589948,Inh GAD1 LOC108589948,Bakken295,pCL399,"is a SNCG marmoset primary motor cortex GABAergic interneuron that selectively expresses LOC108589948, and THSD7B mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL115,SNCG expressing GABAergic neuron,332,0.555555556,2,LOC108589948,THSD7B,,,,GAD
Inh GAD1 NPSR1,Inh GAD1 NPSR1,Bakken296,pCL400,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses ALCAM, and LOC100403193 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,108,0.603448276,2,ALCAM,LOC100403193,,,,GAD
Inh GAD1 PCP4,Inh GAD1 PCP4,Bakken297,pCL401,"is a SNCG marmoset primary motor cortex GABAergic interneuron that selectively expresses PATJ, and THSD7B mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL115,SNCG expressing GABAergic neuron,295,0.523731588,2,PATJ,THSD7B,,,,GAD
Inh LAMP5 COL5A2,Inh LAMP5 COL5A2,Bakken298,pCL402,"is a LAMP5 marmoset primary motor cortex GABAergic interneuron that selectively expresses GLIS3, and TOX3 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL113,LAMP5 expressing GABAergic neuron,161,0.698602794,2,GLIS3,TOX3,,,,GAD
Inh LAMP5 LOC108591196,Inh LAMP5 LOC108591196,Bakken299,pCL403,"is a LAMP5 marmoset primary motor cortex GABAergic interneuron that selectively expresses COL25A1, and KIT mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL113,LAMP5 expressing GABAergic neuron,435,0.675276753,2,COL25A1,KIT,,,,GAD
Inh LAMP5 TOX2,Inh LAMP5 TOX2,Bakken300,pCL404,"is a LAMP5 marmoset primary motor cortex GABAergic interneuron that selectively expresses ALK, and RELN, and TOX2 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL113,LAMP5 expressing GABAergic neuron,93,0.6,3,ALK,RELN,TOX2,,,GAD
