,A1-2,A10,A11,A19DI,A19M,A23a,A23b,A23c,A24d,A32,A32V,A3a,A3b,A45,A46D,A47L,A4ab,A4c,A6DC,A6DR,A6M,A6Va,A8C,A8aD,A8aV,A8b,A9,AIP,AuA1,AuCM,AuCPB,AuML,AuRT,LIP,MIP,MST,OPt,PE,PEC,PF,PFG,PG,PGM,PGa-IPa,S2E,TE3,TEO,TPO,V1,V2,V3A,V4,V4T,V5,V6
A3a,-0.912107095572904,-inf,-inf,-inf,-inf,-3.74938843158089,-2.76078458371398,-0.688917789271076,-1.40663799209496,-inf,-inf,0.0,-0.674644435478166,-3.78238303273065,-inf,-4.41955240926731,-0.828739203870598,-0.681610378478186,-2.15410514825434,-3.50208272829793,-2.16636877109569,-0.985393348247598,-2.27009968767822,-inf,-3.67001379617172,-2.97279342333333,-inf,-4.6874576133451,-inf,-3.50201721482771,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.492091902308038,-4.39653061009015,-1.27517668726498,-3.24895361549582,-3.19703746811452,-inf,-3.65829765030883,-1.55880931560093,-inf,-inf,-4.18665994199087,-inf,-inf,-3.86840930331341,-inf,-inf,-inf,-inf
A3b,-0.622469646910847,-inf,-4.35407000430665,-inf,-inf,-inf,-3.19679378443451,-1.37312459982546,-1.94679154237757,-inf,-inf,-0.542767503184896,0.0,-4.08341302839463,-inf,-4.26646689544045,-1.01134613031664,-1.99159521679457,-2.31252110154894,-inf,-2.99782315177731,-1.46355037533142,-3.29738243977492,-inf,-3.63339760858246,-3.27419480892325,-inf,-inf,-inf,-2.85487884876383,-inf,-inf,-4.71048969975176,-inf,-inf,-inf,-3.63329522807504,-1.05841613175687,-inf,-1.76955694742578,-1.99368111039097,-3.96626851797996,-2.61114495698056,-inf,-1.28136761863405,-inf,-inf,-inf,-inf,-inf,-3.86840930331341,-inf,-inf,-inf,-inf
A45,-inf,-2.85510024658546,-3.45098001731446,-2.32330940629838,-inf,-3.18511700114255,-2.75582245338205,-inf,-3.59068264175872,-inf,-inf,-inf,-2.81883719090732,0.0,-inf,-1.42390956934331,-inf,-3.3718064585072,-inf,-2.57400161934473,-inf,-1.61031165410076,-1.66292018692099,-3.54678935163096,-0.887016708298846,-3.71114676129386,-4.0541915767962,-1.73496906533817,-inf,-3.8030472104917,-inf,-4.59805694728003,-inf,-inf,-2.33745926129021,-3.71430181196814,-3.64549742800469,-inf,-4.39653061009015,-2.61075994355763,-inf,-2.7476409717469,-3.30465206561505,-3.18117639558851,-3.06829714621392,-3.88573804823818,-2.68881122256989,-3.64723982859953,-3.09845119206557,-3.01299475895721,-2.59165770845893,-2.10944834400874,-2.08722369967176,-2.73795439403479,-2.84386777577125
A46D,-inf,-0.999944297457347,-2.12107389391465,-inf,-inf,-2.52183862723838,-2.38443338252327,-inf,-2.98862265042991,-inf,-3.82121210337116,-inf,-inf,-4.08341302839463,0.0,-2.19128249325551,-inf,-inf,-inf,-2.26565497515594,-inf,-3.19645254170314,-4.63980512059799,-1.07519269435795,-3.04247246647768,-1.99195537390417,-1.99728672545879,-4.253341211173,-inf,-3.50201721482771,-inf,-2.41014028891036,-inf,-inf,-inf,-4.19142306668803,-inf,-inf,-inf,-inf,-inf,-4.09343441262247,-3.40698076327129,-2.72887872459442,-3.91674334974743,-2.48558203757939,-inf,-2.0373077008052,-inf,-inf,-inf,-inf,-inf,-inf,-inf
A47L,-4.49677748003932,-1.4213197465295,-1.27164370344617,-2.87961190706566,-2.92788341033214,-1.9090415477282,-2.03250912098198,-inf,-3.95865942705218,-3.66875854175128,-3.82121210337116,-inf,-3.90874230234798,-0.791600340926623,-1.59199064230597,0.0,-inf,-3.3718064585072,-inf,-1.6922725810683,-3.2172582780709,-1.6344316187027,-1.45739421040282,-1.4693378858094,-0.598951752451998,-2.16107044209883,-1.76863426778934,-1.5149262028716,-inf,-2.76706299475672,-inf,-2.87588623426084,-inf,-3.20782664369356,-2.4166405073384,-2.84900038586601,-2.85374657455444,-inf,-2.84022810932298,-2.2322484867238,-2.81714019922161,-2.27562267708389,-2.11788104444366,-1.66047456956283,-2.03864061334177,-1.67083100584974,-2.36659192783648,-2.51463436684814,-2.9283958522563,-3.20393350193163,-2.7236387647613,-2.09525851348689,-1.901688363453,-3.05150516077466,-3.49934335922673
A4ab,-0.783118963831722,-inf,-inf,-inf,-3.22891340599465,-2.90429039156698,-2.63724484504135,-0.61370859305554,-0.297109423840502,-3.66875854175128,-inf,-0.53131802501879,-1.44561280593723,-3.5393449840451,-4.38044642086757,-inf,0.0,-1.81550395773889,-0.544793348707022,-2.67289609952371,-0.844449833562883,-2.02399923625428,-2.31704033399237,-2.94472936030376,-3.92425092090133,-3.27429300642813,-inf,-4.38642761768111,-inf,-4.40510720181911,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.696135093436325,-4.39653061009015,-2.51931282625094,-3.24895361549582,-3.80671851636325,-inf,-3.95932764597083,-1.60129318147562,-inf,-inf,-3.9999131324157,-inf,-inf,-inf,-inf,-inf,-inf,-inf
A4c,-2.79780747570194,-inf,-inf,-inf,-inf,-inf,-3.59310911023874,-3.2481858632169,-2.29841926079346,-inf,-inf,-2.83277010756354,-1.35745914294131,-3.27049967175218,-inf,-3.73255223928588,-2.35327523061674,0.0,-1.93128399166103,-2.86558549839757,-2.36200878241062,-0.957209159267485,-2.05544237839253,-inf,-4.59478283935505,-3.80683339149364,-inf,-4.08539762201713,-inf,-4.70613719748309,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.73030364827842,-inf,-3.8330474550856,-inf,-inf,-2.32251071772476,-inf,-inf,-4.30094312808055,-inf,-inf,-3.82646354909235,-inf,-inf,-inf,-inf
A6DC,-1.67855158642413,-inf,-inf,-3.03451386705141,-inf,-2.54981607667556,-1.82969893455983,-2.84449352565598,-1.63586924995713,-inf,-inf,-2.18090750960689,-2.60250214166049,-2.02650817705816,-4.38044642086757,-2.66206424259039,-0.955517791178887,-1.10935536877673,0.0,-0.867346212404771,-0.791446974151076,-1.49288930301564,-0.812415824182169,-2.0153104345888,-1.96061518242357,-2.85218190508499,-inf,-2.52175487216845,-inf,-inf,-inf,-inf,-inf,-2.93043959476588,-1.83685691072088,-3.71430181196814,-4.12261868272416,-2.09839647589205,-2.01271524410944,-1.76084171552942,-2.5499836111598,-2.59868578248446,-3.03165079355143,-inf,-2.14189906403212,-4.62049001171132,-inf,-3.79524105482005,-inf,-inf,-2.37140211267201,-3.25476971563056,-3.65475393325283,-inf,-3.4188810685343
A6DR,-3.79780747570194,-2.6491611567148,-2.7206015487261,-2.97652192007372,-2.27467089655557,-1.57723626230366,-1.42147635413519,-inf,-3.39438799661398,-inf,-inf,-4.1751927883864,-inf,-1.7235775460544,-1.91313861930342,-2.11329227541985,-2.81287915626805,-3.07077646284322,-1.13787828643163,0.0,-1.03449263601893,-2.49590131138198,-1.02841076084753,-1.23651912542367,-1.56524553984409,-1.23221791319176,-3.01279889163811,-2.02731143573496,-inf,-3.92798594710092,-inf,-3.42352386470253,-inf,-1.85125834871764,-inf,-3.34632502667387,-2.995096479023,-3.54555450723449,-2.02546274781848,-4.11590992187682,-2.48468871199303,-2.15309798551941,-1.63769283364995,-3.48220639125249,-3.61929570255076,-3.32146661780053,-inf,-4.09627105048511,-inf,-inf,-3.16943929897867,-3.79549766994282,-3.65475393325283,-inf,-3.11785107287032
A6M,-2.29265749738289,-inf,-inf,-inf,-inf,-3.44835843591691,-1.95405866516752,-2.7253071179358,-1.25872225578969,-inf,-inf,-1.96208607930364,-3.3646742579967,-1.89448454463352,-3.69946565056281,-3.21698589281936,-0.898224798136988,-1.57246590905381,-0.642128701253412,-1.17761230955308,0.0,-1.7498062135841,-1.89740712399755,-1.81401700823835,-2.99353600074528,-1.14359236581144,-4.0541915767962,-2.73292318101565,-inf,-inf,-inf,-3.75295890726774,-4.71048969975176,-inf,-inf,-inf,-inf,-2.76740325685135,-inf,-2.37554723238258,-inf,-3.65611306408103,-4.50877204827063,-inf,-2.60661053691427,-4.14336875699105,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
