,id,Age,Sex
434,444,0.83,1
435,445,7.16,0
436,446,3.59,0
437,447,4.42,0
438,448,5.85,0
439,449,11.31,0
440,450,8.08,0
441,451,8.04,0
442,452,5.52,0
443,453,12.73,0
444,454,12.75,1
445,455,8.69,0
