,predictor,fold,mae,partial_r
122,KNN edge,23,0.3066516607354589,0.6474720636499032
123,KNN edge,24,0.3070531734198835,0.6184797328802745
124,KNN edge,25,0.25377179510513265,0.7121788145072545
125,KNN edge,26,0.28618285775634283,0.7114546492540083
126,KNN edge,27,0.23689382750273583,0.6343668975473216
127,KNN edge,28,0.2802294095430047,0.8040671577147782
128,KNN edge,29,0.2757700810151759,0.7172476501692229
129,KNN edge,30,0.34529487056941627,0.682909483538968
130,KNN edge,31,0.28342822164437614,0.7216263565447847
131,KNN edge,32,0.2948753595851679,0.6749430764512327
132,KNN edge,33,0.2598548872106224,0.7356853150680208
133,KNN edge,34,0.2612487388450074,0.7944210771712394
134,KNN edge,35,0.29927537783292973,0.6854913995712875
135,KNN edge,36,0.3168038640213069,0.65315023868577
136,KNN edge,37,0.26928255414686775,0.794515346135481
137,KNN edge,38,0.2532668581865213,0.7101170178583515
138,KNN edge,39,0.31381419897481316,0.7458359552479679
139,KNN edge,40,0.2719548520688298,0.7004745194160801
140,KNN edge,41,0.29229499998878183,0.6933471652986971
141,KNN edge,42,0.29183537136259147,0.7942198953619941
142,KNN edge,43,0.2778696729719376,0.6227032114671748
143,KNN edge,44,0.2825201189975771,0.7022815497092326
144,KNN edge,45,0.3180492562993801,0.5533522028228162
145,KNN edge,46,0.29594088360942455,0.7151871266076321
146,KNN edge,47,0.2784245350160313,0.7634719814301465
147,KNN edge,48,0.28356020523231495,0.7484302875909762
148,KNN edge,49,0.26557527423280547,0.7326051356240071
149,KNN edge,50,0.30156829777237343,0.6348617793805041
150,hist edge,1,0.27625080622471815,0.6226972928201686
151,hist edge,2,0.27099871796224706,0.7625072660431734
152,hist edge,3,0.23634619559050346,0.7295555270225117
153,hist edge,4,0.31729313465196995,0.6405385683098306
154,hist edge,5,0.2759433712003099,0.7699435200672309
155,hist edge,6,0.25473341347008194,0.7623781496277174
156,hist edge,7,0.25760101502228555,0.8461288524904816
157,hist edge,8,0.3275213411152492,0.6944924574347554
158,hist edge,9,0.2568119451263332,0.7424241418348931
