,GAD_1,GAD_2,GAD_3,GAD_4,GAD_5,GAD_6,GAD_7,GAD_8,GAD_9,GAD_10,GAD_11,GAD_12
FAM179A,2.178642511367798,2.1829800605773926,1.99223792552948,2.192363977432251,1.6599098443984985,1.9812076091766357,2.010352373123169,2.095513105392456,1.8656609058380127,2.343644380569458,1.9782017469406128,2.069173812866211
FILIP1,0.5482377409934998,0.21654976904392242,0.4277079701423645,0.18556906282901764,0.06283258646726608,0.5290198922157288,0.6167318820953369,1.7388721704483032,0.23252707719802856,0.15706798434257507,0.22304445505142212,0.26914334297180176
PRKG1,1.5960965156555176,3.201359510421753,1.2513506412506104,1.4613186120986938,4.213801383972168,4.405380725860596,3.2105445861816406,4.4872355461120605,5.180820941925049,2.143690347671509,2.2169339656829834,4.27313232421875
B3GLCT,0.6077395081520081,0.5603625178337097,0.7329107522964478,0.5802617073059082,0.6748645901679993,0.3957754373550415,0.9059323668479919,1.5173853635787964,0.517841100692749,0.9058478474617004,0.15939250588417053,0.16625021398067474
BTBD11,2.035609006881714,1.4592992067337036,3.214115858078003,2.021059513092041,0.17991770803928375,0.2561984956264496,1.767454743385315,4.048948287963867,3.2925872802734375,1.9463238716125488,0.6901598572731018,0.7183725237846375
CCDC141,0.020958922803401947,0.03381974995136261,0.019619787111878395,0.027959000319242477,0.2641748785972595,0.027219947427511215,0.2674744129180908,1.0340348482131958,0.02165888622403145,0.08681444823741913,0.05181341618299484,0.16361720860004425
CHRM2,0.2262936234474182,0.10699793696403503,0.19471502304077148,0.6849124431610107,0.05657990276813507,2.0772125720977783,0.8668369650840759,0.8238354921340942,0.06259983777999878,3.485072135925293,0.7388806939125061,1.9578980207443237
CPNE8,0.4162319600582123,0.28031882643699646,0.573699414730072,0.2538449764251709,0.09193489700555801,1.583088994026184,0.7344604730606079,0.37308168411254883,1.8874454498291016,0.21858292818069458,0.4171069860458374,1.6502965688705444
NOS1,0.7427093386650085,3.5130274295806885,0.1476816087961197,0.11094541847705841,0.1584887057542801,1.7068042755126953,0.6903019547462463,0.8946597576141357,0.09270400553941727,5.223686218261719,1.5213027000427246,0.6659233570098877
ARHGAP18,0.11210983991622925,0.9290131330490112,1.1642531156539917,2.1735897064208984,0.09599347412586212,0.031409721821546555,0.6253851652145386,0.09790470451116562,0.236131489276886,1.273089051246643,0.3886505961418152,0.4556996524333954
PCDH15,1.611871361732483,3.0561716556549072,3.062652826309204,3.044489622116089,3.2541842460632324,1.4913978576660156,2.9950990676879883,2.0525364875793457,0.4476766586303711,6.057250022888184,4.846819877624512,4.066562652587891
VEGFC,0.012634276412427425,0.08259017020463943,0.09608928859233856,0.5036975741386414,1.634013295173645,0.08457699418067932,0.13635092973709106,0.017777632921934128,0.1351468861103058,0.023409433662891388,0.07958970963954926,0.3341946601867676
ADARB2,6.709178447723389,4.819252967834473,6.170969486236572,6.523096084594727,0.3244626820087433,4.298487663269043,2.535890579223633,0.17274075746536255,0.9867556095123291,0.3065514862537384,0.24048998951911926,0.3558744490146637
SEMA3C,0.08226427435874939,0.05440818890929222,0.6537585854530334,0.19833555817604065,0.35404592752456665,0.021371889859437943,0.3222878575325012,0.020782489329576492,0.020676877349615097,0.022388910874724388,0.1237480565905571,0.06691376864910126
CNR1,1.619834303855896,0.40865767002105713,1.9531859159469604,3.64595627784729,1.7223278284072876,0.08742184937000275,0.978095293045044,0.2792452871799469,0.14218725264072418,1.1442372798919678,0.43903788924217224,0.47429370880126953
TRPM3,0.6666437983512878,0.7274489998817444,0.30781179666519165,1.3355690240859985,5.381978511810303,4.918759346008301,1.9403228759765625,0.9642040133476257,0.4967237412929535,0.39245784282684326,0.395855575799942,1.2114875316619873
ABI3BP,0.1778169572353363,0.2940201759338379,0.4681871235370636,0.20572739839553833,0.22774198651313782,0.1306186318397522,0.9376958608627319,0.6235551834106445,0.7809655666351318,3.372464895248413,2.789820909500122,1.9971734285354614
NELL1,0.47603118419647217,1.9405101537704468,0.6461837291717529,2.3667094707489014,0.29641851782798767,0.052591413259506226,2.1888813972473145,0.19857293367385864,0.18606971204280853,4.165676116943359,1.7803897857666016,1.2568674087524414
TRHDE,0.7214505672454834,0.34266212582588196,2.0842251777648926,2.2604820728302,3.6486270427703857,1.300252914428711,1.9842733144760132,0.9629350900650024,0.6436823606491089,0.9443081617355347,3.758289337158203,5.045450687408447
CBLN4,0.031297795474529266,0.042841918766498566,0.23909255862236023,0.058991093188524246,0.09114129841327667,0.01808704249560833,0.292527437210083,0.11004364490509033,0.062468577176332474,0.23218485713005066,0.9338881373405457,0.5297344326972961
COL24A1,0.5521247386932373,3.290970802307129,0.46884042024612427,0.23946726322174072,0.4060310423374176,0.04909766465425491,1.2025264501571655,0.6034055352210999,1.047508955001831,4.124655723571777,2.4569091796875,0.6670369505882263
PTPRT,5.397777080535889,5.10247278213501,0.7286252975463867,1.8926645517349243,0.45696642994880676,1.3502836227416992,3.1612167358398438,1.810435175895691,3.700208902359009,5.897529125213623,2.8857522010803223,3.832000970840454
SERPINI1,0.6301892399787903,1.0254772901535034,0.8291482925415039,1.0751926898956299,0.5504606366157532,2.327198028564453,1.9970170259475708,2.602774143218994,0.8551364541053772,2.182034492492676,1.9515782594680786,3.0563390254974365
GLRA3,0.5310879349708557,0.6234211921691895,0.5731425285339355,0.453117698431015,0.35997045040130615,0.19355124235153198,0.8766013979911804,0.48479026556015015,0.09370313584804535,0.41088128089904785,0.3923063576221466,0.9485212564468384
NXPH1,5.011374473571777,5.582810401916504,0.3930724859237671,1.7629449367523193,2.139863967895508,1.7911020517349243,3.387817859649658,5.24788761138916,4.6430511474609375,4.668203830718994,5.529886722564697,5.44924259185791
PCDH11X,2.178642511367798,2.1829800605773926,1.99223792552948,2.192363977432251,1.6599098443984985,1.9812076091766357,2.010352373123169,2.095513105392456,1.8656609058380127,2.343644380569458,1.9782017469406128,2.069173812866211
COL12A1,2.061600923538208,1.9575105905532837,0.4372057020664215,0.8488835692405701,0.12216982990503311,0.03925786912441254,0.5417008996009827,0.20198726654052734,0.8340691328048706,0.037825554609298706,0.7818195223808289,0.23891226947307587
ARHGAP24,0.07824775576591492,0.09160242229700089,0.4486459195613861,0.1376429945230484,0.07802922278642654,0.2764885425567627,0.3244088292121887,0.22454725205898285,0.09444943815469742,3.622276782989502,0.5082234740257263,0.33150845766067505
SYT9,0.0672612115740776,0.10120490193367004,0.6325718760490417,0.6394742727279663,0.054698001593351364,0.03603074699640274,0.4702543020248413,0.0715092122554779,0.22793526947498322,2.628464460372925,0.7415491938591003,0.19930443167686462
