,id,Age,Sex,Weight,wm,vh,etiv,gm
146,371,2.13,0,299,1.076644,0.464237,8.033,1.6852659520016764
147,130,2.14,1,372,0.67534,0.321245,8.751,1.8402576994973048
148,364,2.15,1,327,1.184178,0.689607,7.459,1.7991811285325885
149,144,2.16,1,400,1.038787,0.519993,8.309,2.0323837943743643
150,321,2.17,1,456,1.146499,0.428809,8.312,2.353837865905176
151,6,2.17,1,290,0.607234,0.28163,8.183,1.4643565362210886
152,291,2.18,1,405,1.276743,0.510983,7.836,2.1738683417432223
153,137,2.18,0,342,0.844566,0.379539,8.056,1.7548033593265275
154,36,2.19,1,403,1.154911,0.580418,7.598,2.1088436747723955
155,287,2.22,0,314,0.684993,0.299911,8.569,1.5749289066032006
156,116,2.22,0,307,0.54816,0.30193,8.663,1.5223405747664551
157,406,2.24,1,273,0.96774,0.656522,7.642,1.5167237559520996
158,183,2.24,1,305,0.66616,0.310459,8.748,1.5568857383602197
159,93,2.24,0,388,0.651602,0.340281,7.877,1.8718729310210096
160,212,2.26,1,323,0.730367,0.404056,9.561,1.6433507164543408
161,42,2.28,1,462,0.845601,0.33059,7.429,2.330849368098379
162,182,2.28,1,286,0.504137,0.277497,9.103,1.4117354675005231
163,320,2.29,1,300,1.26468,0.609432,8.339,1.707817171046473
164,43,2.29,1,440,0.874957,0.423979,7.46,2.1765796611564805
165,323,2.29,1,330,0.590593,0.233695,8.287,1.6941807757376202
166,317,2.32,0,438,0.895703,0.553117,7.461,2.19206889489253
167,354,2.32,0,388,0.913475,0.362061,8.251,2.023403632032067
168,299,2.35,0,248,0.764515,0.556892,9.278,1.3136332674043527
169,305,2.35,0,293,1.125367,0.873104,9.05,1.640462943425942
170,65,2.36,0,452,0.503898,0.281033,7.933,2.131016941881637
171,324,2.37,0,394,1.049297,0.561559,8.022,2.0861100354065742
172,314,2.38,0,425,1.065111,0.443311,9.027,2.250412576271125
173,70,2.4,0,308,0.366733,0.17139,8.352,1.4644153875633583
174,74,2.4,0,321,0.596119,0.255101,7.61,1.6216220546877187
175,370,2.41,1,363,1.420824,0.511238,8.03,2.016760138988522
176,121,2.41,0,328,0.77681,0.426778,8.106,1.7240878211096442
177,343,2.41,1,297,0.463943,0.238616,8.416,1.4250240709316442
178,81,2.41,1,469,0.646051,0.325804,8.31,2.258437034276102
179,294,2.42,1,363,0.890872,0.296284,8.404,1.892815736381652
180,111,2.42,0,358,0.831417,0.410484,7.844,1.799046701793832
181,322,2.42,0,325,1.628216,1.114949,8.626,2.0293791728920203
182,209,2.43,0,312,0.740735,0.383674,8.427,1.5843222367418133
183,114,2.44,0,318,0.716228,0.338291,7.73,1.62106020896641
184,102,2.45,1,262,0.924028,0.422851,7.519,1.4505433761431232
185,316,2.45,0,386,0.633609,0.470041,7.904,1.9157282059294385
186,315,2.45,0,374,1.232734,0.6065,8.247,2.0281068772584456
187,112,2.45,1,298,1.157015,0.56099,8.303,1.6573815180887292
188,110,2.45,0,265,0.69352,0.379551,8.66,1.4085412567430688
189,172,2.47,0,309,0.841394,0.393515,7.794,1.6656822684517805
190,50,2.5,0,445,0.640952,0.301058,6.666,2.134112388614177
191,49,2.5,0,336,1.074462,0.507247,8.153,1.8595797429158385
192,363,2.52,1,340,0.635342,0.303283,8.161,1.702026510122291
193,289,2.53,1,354,1.422131,1.052509,8.234,1.9952590643974928
194,97,2.53,1,377,0.66034,0.313859,8.153,1.878204984431844
195,208,2.53,0,429,0.896786,0.472201,7.845,2.163569934980778
196,284,2.55,1,370,1.008566,0.455371,8.389,1.904212488525299
197,30,2.57,1,347,1.05833,0.456023,7.54,1.861397822697637
198,34,2.6,0,439,1.112057,0.496894,9.08,2.237065759346822
199,31,2.62,0,433,0.68539,0.340301,8.074,2.0834636999841
200,184,2.63,0,307,0.487399,0.246077,8.158,1.4846975335252532
201,273,2.63,1,319,0.832361,0.358251,8.061,1.6296518187964162
202,188,2.64,1,290,0.683555,0.359897,8.692,1.4818647933951343
203,29,2.65,1,400,0.726353,0.31716,7.106,1.956948992426207
204,303,2.68,1,310,1.116729,0.509539,8.349,1.7776097822595394
205,185,2.72,1,442,0.636179,0.26626,6.952,2.1196809312349862
206,312,2.74,0,310,0.890443,0.438182,7.616,1.6868265993563698
207,57,2.75,0,341,0.681422,0.327769,9.174,1.7219599865162438
208,47,2.75,1,405,0.600477,0.31158,8.228,1.950160534791062
209,69,2.75,0,364,0.688774,0.316304,8.605,1.8160368054941975
210,334,2.75,1,348,1.972052,0.826492,7.844,2.1469796810245434
211,45,2.75,1,385,0.726426,0.311734,7.553,1.9384037942036387
212,330,2.84,0,296,1.089873,0.482181,8.227,1.5994138383550445
213,115,2.84,0,374,1.059564,0.516011,8.44,1.92368172855145
214,325,2.85,1,308,1.499408,1.067111,7.894,1.821220423980299
215,311,2.9,0,323,1.24076,0.685034,7.697,1.804311875156546
216,297,2.94,1,295,0.772041,0.382036,8.265,1.5187933427373268
217,103,2.94,0,322,1.29829,0.661401,8.45,1.806714544206256
218,279,2.96,0,374,1.123291,0.469321,7.747,1.961396593900163
219,59,2.98,1,426,1.631655,0.63423,7.608,2.493261233334782
220,349,2.99,0,254,0.87553,0.666659,8.337,1.462572230673307
221,48,2.99,0,315,0.737957,0.299494,7.794,1.6020654487256394
222,109,3.0,0,329,1.114843,0.470749,8.093,1.8128238309520348
223,108,3.0,1,354,0.918025,0.429865,7.824,1.8461120845129533
224,293,3.01,1,340,1.92562,0.974707,8.363,2.226662663042165
225,173,3.01,0,291,1.513309,0.721081,8.578,1.769645494135163
226,28,3.06,1,432,0.974886,0.556007,8.728,2.2058913813446774
227,83,3.08,1,426,1.006525,0.418465,7.851,2.207065600798904
228,79,3.11,1,416,1.259738,0.595126,8.54,2.200233065260235
229,440,3.11,0,325,1.221389,0.72974,8.439,1.828709283547354
230,288,3.11,0,388,0.795893,0.359184,7.81,1.9548496179593255
231,290,3.11,0,285,0.814585,0.379144,8.595,1.5140534300905688
232,78,3.11,1,424,0.733975,0.369798,8.831,2.0783157903901257
233,298,3.13,0,306,1.070336,0.579543,9.193,1.685621043478697
234,44,3.15,0,426,0.534933,0.258551,7.566,2.012799311851696
235,98,3.18,1,336,0.652162,0.307206,8.327,1.7550686709793362
236,264,3.18,1,315,0.920744,0.431234,8.11,1.6371898031796763
237,189,3.19,1,520,1.119178,0.513678,7.44,2.627385819532543
238,200,3.21,1,333,1.41553,0.680897,9.235,1.947659128176108
239,120,3.23,0,323,1.099561,0.440709,7.747,1.7900577896917176
240,15,3.28,1,354,0.780979,0.33354,8.901,1.827951891797192
241,274,3.28,0,369,0.944229,0.474889,8.088,1.9023434655790283
242,174,3.29,0,362,0.887902,0.449446,8.681,1.871325599119659
243,96,3.3,1,376,0.483994,0.251407,7.872,1.7789683669770506
244,175,3.3,0,362,1.116249,0.479548,7.63,1.966559239897279
245,347,3.3,0,322,1.151663,0.743575,7.719,1.7759550460146436
246,276,3.31,0,416,1.163653,0.743762,8.225,2.220532547814499
247,346,3.32,0,338,1.273084,0.608239,7.411,1.8932807665288416
248,268,3.38,0,400,0.88426,0.400258,8.879,2.0297663712303704
249,277,3.39,1,574,1.373057,0.507038,7.72,2.9459050884273346
250,327,3.39,1,352,0.885178,0.475093,7.761,1.8467340438855195
251,193,3.41,1,354,0.613142,0.247765,7.531,1.7041260532717863
252,278,3.43,1,316,1.222563,0.784224,7.692,1.841697690364911
253,26,3.43,0,423,1.192796,0.492594,8.443,2.267348369929375
254,207,3.44,0,318,1.116857,0.458143,7.429,1.7764250785391944
255,296,3.48,0,603,0.890875,0.291847,6.594,2.8697505778724497
256,300,3.49,0,360,1.394275,0.668455,8.696,1.984732730914727
257,270,3.5,1,350,0.967328,0.397386,8.255,1.8380884019995103
258,181,3.51,0,315,0.807677,0.403873,8.575,1.6476890359652092
259,35,3.52,0,423,0.597195,0.317297,8.949,2.0452134405910742
260,38,3.52,0,368,0.655254,0.294359,7.44,1.839811270333724
261,285,3.56,0,319,1.006641,0.609405,8.816,1.7254114068606567
262,22,3.58,1,320,0.569023,0.296247,8.826,1.5578388839726305
263,446,3.59,0,303,1.060841,0.526195,7.638,1.6948629289925357
264,82,3.59,1,386,1.398142,0.617603,9.292,2.2149347418493237
265,80,3.6,0,502,0.812801,0.371644,7.496,2.4382234858346536
266,267,3.61,0,369,1.16321,0.72045,8.569,2.0243328678700947
267,263,3.64,1,310,0.955056,0.594162,7.687,1.6982560891502068
268,180,3.67,1,297,0.695949,0.310628,8.524,1.5321071679504192
269,39,3.69,0,319,0.745074,0.335377,8.811,1.6384194199170663
270,292,3.69,1,392,0.975741,0.514593,8.775,2.222267041793198
271,326,3.75,0,344,0.971704,0.492264,8.223,1.791032170783478
272,256,3.77,0,336,0.927169,0.457961,8.476,1.7564438121387962
273,319,3.77,0,352,1.120005,0.460774,7.699,1.9387514426695855
274,63,3.79,0,366,0.703146,0.321565,8.305,1.8213770040466009
